ID,MSLG,SPA,MSLG_clean
240,YA MUCHO ÉL ABUSAR YO,Él ya abusó mucho de mí.,YA MUCHO ÉL ABUSAR YO
22,AHORA TÚ RECÁMARA TÚ LIMPIAR,Ahora tú limpia tu recámara.,AHORA TÚ RECÁMARA TÚ LIMPIAR
173,DINERO NADA ESO GRATIS,"Eso no cuesta nada, es gratis.",DINERO NADA ESO GRATIS
544,TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR,Mi amiga y su novio van los sábados al casino.,TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR
416,PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR,Vamos al parque de Azcapotzalco.,PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR
374,ÁLVARO OBREGÓN YO VIVIR,Yo vivo en la Delegación Álvaro Obregón.,ÁLVARO OBREGÓN YO VIVIR
534,BERLÍN CAPITAL SU ALEMANIA,Berlín es la capital de Alemania.,BERLÍN CAPITAL SU ALEMANIA
797,UNIVERSIDAD GALLAUDET FAMOSA,La Universidad Gallaudet es muy famosa.,UNIVERSIDAD GALLAUDET FAMOSA
0,TARDE ¿POR QUÉ?,¿Por qué llegaste tarde?,TARDE ¿POR QUÉ?
866,CONGRESO NUEVA LEY APROBAR YA,El Congreso aprobó la nueva ley.,CONGRESO NUEVA LEY APROBAR YA
244,TÚ YA DEBER RESPONSABLE TÚ YA ADULTO,"Tú ya debes ser responsable, ya eres un adulto.",TÚ YA DEBER RESPONSABLE TÚ YA ADULTO
760,ESE CARRO NUEVO LUJOSO,Ese carro nuevo es muy lujoso.,ESE CARRO NUEVO LUJOSO
782,MUCHOS POLICÍA HABER MANIFESTACIÓN,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN
838,PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR,Mi hermana se casa el próximo domingo.,PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR
904,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN
589,TÚ MALO NO DEBER,No debes ser malo.,TÚ MALO NO DEBER
648,PAYASO ZAPATO SUYO COLOR AMARILLO,Los zapatos del payaso son amarillos.,PAYASO ZAPATO SUYO COLOR AMARILLO
771,OJALÁ TÚ ÉXITO,Ojalá tengas éxito.,OJALÁ TÚ ÉXITO
540,CAJÓN HOJAS BLANCAS HAY,Hay hojas blancas en el cajón.,CAJÓN HOJAS BLANCAS HAY
755,¿DÓNDE TUYO LOCAL?,¿Dónde está tu local?,¿DÓNDE TUYO LOCAL?
452,MI CRONÓMETRO YA PERDER,Mi cronómetro se perdió.,MI CRONÓMETRO YA PERDER
119,DOMINGO IGLESIA YO IR CONFESAR YO,El domingo me iré a confesar a la iglesia.,DOMINGO IGLESIA YO IR CONFESAR YO
386,dm-TOMÁS APÓSTOL JESÚS,Tomás fue un apóstol de Jesús.,TOMÁS APÓSTOL JESÚS
38,dm-JUAN ASUNTO APARTE,"Con Juan, es un asunto aparte.",JUAN ASUNTO APARTE
77,DIARIO BIBLIA dm-ARTURO LEER,Arturo lee la biblia diariamente.,DIARIO BIBLIA ARTURO LEER
318,TÚ ENOJAR NO POR-FAVOR,"No te enojes, por favor.",TÚ ENOJAR NO POR-FAVOR
615,#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE,En la TV vi una noticia fea que pasó en Santiago de Chile.,#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE
719,AÑO-PASADO YO VIAJAR GUANAJUATO,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO
791,MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,Mi hermana practica snorkeling.,MI HERMANO+MUJER SNORKELING ELLA PRACTICAR
756,ESE HOMBRE LOCO PARECER,Ese hombre parece loco.,ESE HOMBRE LOCO PARECER
979,SOPA CALIENTE,La sopa está caliente.,SOPA CALIENTE
4,¿QUÉ-PASO?,¿Qué te pasó?,¿QUÉ-PASO?
937,MÉXICO PAPA Él REGAÑAR OBISPO,El papa regañó a los obispos en México.,MÉXICO PAPA ÉL REGAÑAR OBISPO
281,ESO BONITO SÍ YO GUSTAR,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR
953,MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR,Mi papá llena el formato para tramitar su licencia de manejo.,MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR
51,dm-MARIBEL DIPLOMA NIVEL AVANZADO,Maribel cursa el nivel avanzado en el diplomado.,MARIBEL DIPLOMA NIVEL AVANZADO
405,AUSTRALIA DECIR HABER MUCHO CANGURO,Dicen que en Australia hay muchos canguros.,AUSTRALIA DECIR HABER MUCHO CANGURO
15,ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO,Adolfo López Mateos fue presidente de México.,ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO
456,YA TÚ DECIR MÍ NO ELUDIR PREGUNTA,"Ya dime la verdad, no eludas la pregunta.",YA TÚ DECIR MÍ NO ELUDIR PREGUNTA
216,dm-MIGUEL PECHO ÉL DOLER,Miguel tiene dolor en el pecho.,MIGUEL PECHO ÉL DOLER
108,MI ABUELO+MUJER HACER RICO CHOCOLATE,Mi abuela hace un chocolate muy rico.,MI ABUELO+MUJER HACER RICO CHOCOLATE
662,BRASILIA BONITO,Brasilia es bonita.,BRASILIA BONITO
228,dm-JUANA LSM ELLA SABER,Juana sabe LSM.,JUANA LSM ELLA SABER
807,ALMOHADA CÓMODA ALMOHADA PARA DORMIR,La almohada es muy cómoda para dormir.,ALMOHADA CÓMODA ALMOHADA PARA DORMIR
872,MUCHO PERSONA CORÁN ELLOS CREER,Muchas personas creen en el Corán.,MUCHO PERSONA CORÁN ELLOS CREER
250,ESE SUAVE PARECE ALGODÓN,"Eso es muy suave, parece algodón.",ESE SUAVE PARECE ALGODÓN
946,MARATÓN MI PRIMO MEDALLA ORO YA GANAR,Mi primo ganó medalla de oro en el maratón.,MARATÓN MI PRIMO MEDALLA ORO YA GANAR
766,YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR,"Te aviso, me las vas a pagar.",YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR
373,ÉL BUENO ALUMNO Él,Él es un buen alumno.,ÉL BUENO ALUMNO ÉL
681,YO NECESITAR DINERO PAGAR GASOLINA,Necesito dinero para poder pagar la gasolina.,YO NECESITAR DINERO PAGAR GASOLINA
218,CAJA PEQUEÑA SU COLOR ROJO,La caja pequeña es de color rojo.,CAJA PEQUEÑA SU COLOR ROJO
674,CORONA-DE-OLIVO ELLOS PONER ÉL,Le pusieron la corona de olivo.,CORONA-DE-OLIVO ELLOS PONER ÉL
711,COMIDA TENER MUCHO GRASA,La comida tiene mucha grasa.,COMIDA TENER MUCHO GRASA
516,PLAYA TORTUGA HABER,Hay una tortuga en la playa.,PLAYA TORTUGA HABER
357,BIBLIA DENTRO ADÁN NOMBRE HABER,En la biblia está el nombre de Adán.,BIBLIA DENTRO ADÁN NOMBRE HABER
636,MI TARJETA-DE-CRÉDITO YO PAGAR,Yo pago con mi tarjeta de crédito.,MI TARJETA-DE-CRÉDITO YO PAGAR
387,¿CÓMO SEÑA dm-APÓSTOLES?,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA APÓSTOLES?
891,SU HIJO ÉL ABANDONAR,Él abandonó a su hijo.,SU HIJO ÉL ABANDONAR
377,YO SIEMPRE ORAR YO DECIR AMÉN,Siempre que rezo digo amén.,YO SIEMPRE ORAR YO DECIR AMÉN
579,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA,Mi compañero de trabajo insiste en hacer una fiesta.,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA
834,ELLA CARA BONITA,Ella tiene una cara bonita.,ELLA CARA BONITA
148,SIEMPRE ÉL DISTRAÍDO,Él siempre está muy distraído.,SIEMPRE ÉL DISTRAÍDO
231,ESTA SERVILLETA SUCIA,Esta servilleta está sucia.,ESTA SERVILLETA SUCIA
257,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD,Los animales son muy bonitos en verdad.,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD
623,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",La semana pasada fui a Plaza Universidad.,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD"
87,BOSNIA-HERZEGOVINA ESE PAÍS LEJOS,Bosnia y Herzegovina es un país muy lejano.,BOSNIA-HERZEGOVINA ESE PAÍS LEJOS
499,HOY MÍ CELULAR YO YA TENER SALDO,Hoy mi celular ya tiene saldo.,HOY MÍ CELULAR YO YA TENER SALDO
900,ELLA TENER CABELLO-LACÍO,Ella tiene cabello lacio.,ELLA TENER CABELLO-LACÍO
532,AÑO-PASADO UNIVERSIDAD YO TERMINAR,El año pasado terminé la universidad.,AÑO-PASADO UNIVERSIDAD YO TERMINAR
460,ESTONIA FRONTERA RUSIA,Estonia tiene una frontera con Rusia.,ESTONIA FRONTERA RUSIA
565,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER,En el mercado venden muchas escobas baratas.,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER
920,dm-PABLO FLOJO,Pablo es flojo.,PABLO FLOJO
783,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ
107,TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR,Raúl entrena los sábados en CEPAMEX.,TODO-SÁBADO TODO-SÁBADO CEPAMEX RAÚL ENTRENAR
694,ÉL EJERCER EJERCER FORTALECER,Él hace mucho ejercicio para fortalecerse.,ÉL EJERCER EJERCER FORTALECER
594,MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO,Mi mamá cocina en la olla express caldo de pollo sabroso.,MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO
436,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO,La semana pasada compré cinta canela en el Centro.,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO
605,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS
397,CONSTITUCIÓN TENER MUCHOS ARTÍCULOS,La Constitución tiene muchos artículos.,CONSTITUCIÓN TENER MUCHOS ARTÍCULOS
727,HUNGRÍA ESE PAÍS LEJOS,Hungría es un país que está muy lejos.,HUNGRÍA ESE PAÍS LEJOS
470,YO IR TIENDA COMPRAR JABÓN YA,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA
319,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO,El escudo de la bandera de México es muy bonito.,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO
225,PRÓXIMO CONFERENCIA LUGAR MONTERREY,La próxima conferencia será en Monterrey.,PRÓXIMO CONFERENCIA LUGAR MONTERREY
233,dm-MARÍA dm-DANIEL AMBOS IR TEATRO,María y Daniel van al teatro.,MARÍA DANIEL AMBOS IR TEATRO
689,MI ABUELO TENER RIFLE VIEJO,Mi abuelo tiene un rifle viejo.,MI ABUELO TENER RIFLE VIEJO
762,ELLA TENER LUNAR BONITO,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO
242,AYER ADIÓS TÚ DECIR NADA,Ayer no me dijiste adiós.,AYER ADIÓS TÚ DECIR NADA
693,CUADERNO FEO,El cuaderno es feo.,CUADERNO FEO
744,LEY ROBAR PROHIBIR,La ley prohíbe robar.,LEY ROBAR PROHIBIR
55,dm-MARIANA BAILAR ELLA GUSTAR,A Mariana le gusta bailar.,MARIANA BAILAR ELLA GUSTAR
381,ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR,Antier fui a un concierto de Magneto en el Palacio de los Deportes.,ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR
896,PAYASO MUCHO MAQUILLAJE,El payaso usa mucho maquillaje.,PAYASO MUCHO MAQUILLAJE
809,AYER MAMÁ PREPARAR ATOLE,Ayer mi mamá preparó atole.,AYER MAMÁ PREPARAR ATOLE
199,SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR
968,MONTAÑA RUSA TÚ COBARDE NO,"Súbete a la montaña rusa, no seas cobarde.",MONTAÑA RUSA TÚ COBARDE NO
919,YO EMOCIONADO NUEVO INGRESAR TRABAJO,Estoy emocionado por ingresar a mi nuevo trabajo.,YO EMOCIONADO NUEVO INGRESAR TRABAJO
974,ANTES dm-MIGUEL NOVIO,Miguel fue mi novio.,ANTES MIGUEL NOVIO
28,dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR,Sara encontró muchas almejas en el mar.,SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR
963,MI PERRO SUMISO MOLESTAR,"Mi perro es sumiso, no molesta.",MI PERRO SUMISO MOLESTAR
133,FRESAS CON CREMA YO GUSTAR,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR
378,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN
505,PERRO MUCHO SED,El perro tiene mucha sed.,PERRO MUCHO SED
101,MI TRABAJO MUCHO CANSAR CANSAR,Mi trabajo es muy cansado.,MI TRABAJO MUCHO CANSAR CANSAR
804,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE,Tengo que acostumbrarme a despertarme a correr temprano.,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE
634,NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR,Caminemos hacia el sur para encontrar agua.,NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR
575,NOSOTROS ABRIR-HORNO PARA PASTEL,Nosotros abrimos el horno para meter los pasteles.,NOSOTROS ABRIR-HORNO PARA PASTEL
392,MI NOVIO NACER LUGAR ARGENTINA,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA
918,YO VIAJE FRANCIA YO EMOCIONAR YA,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA
493,POLICÍA PERSEGUIR JOVEN,El policía persigue a un joven.,POLICÍA PERSEGUIR JOVEN
732,dm-JOSÉ APRENDER IDIOMA ITALIA,José aprende la lengua de Italia.,JOSÉ APRENDER IDIOMA ITALIA
650,¡YO ASUSTAR ALMA DESAPARECER!,¡Del susto se me escapó el alma!,¡YO ASUSTAR ALMA DESAPARECER!
604,PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE,El sábado pasado hubo un grave accidente en la carretera.,PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE
537,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER,Mete en la bolsa las cosas que compraste en la tienda.,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER
506,DOS-DE-NOSOTROS YA SEPARAR,Él y yo ya nos separamos.,DOS-DE-NOSOTROS YA SEPARAR
878,CUBA CALOR,En Cuba hace mucho calor,CUBA CALOR
284,ESA PIEDRA BONITA BRILLO MUCHO,"Esa piedra está muy bonita, brilla mucho.",ESA PIEDRA BONITA BRILLO MUCHO
454,NADA YO NO-QUERER NADA,No quiero nada.,NADA YO NO-QUERER NADA
337,dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE,"Miguel quiere declarse a su amiga, pero no se atreve.",MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE
735,CHAPULTEPEC HABER LAGO,En Chapultepec hay un lago.,CHAPULTEPEC HABER LAGO
298,ENTRAR ANIMAL NIÑO VER MONO,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO
334,PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER,Mi novio y yo vemos películas con subtítulos.,PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER
31,MAÑANA AMANECER NOSOTROS ENCONTRAR,Nosotros nos encontraremos mañana al amanecer.,MAÑANA AMANECER NOSOTROS ENCONTRAR
640,TÚ BASURA TIRAR,Tira la basura.,TÚ BASURA TIRAR
352,DELEGACIÓN YO YA IR ACTA LEVANTAR,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR
145,QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR,"Si llego tarde al trabajo, me pueden despedir.",QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR
463,HOY CUMPLEAÑOS MÍ,Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ
353,MI AMIGO dm-JULIO TENER ACTA-DEMANDA,Mi amigo Julio tiene un acta de demanda.,MI AMIGO JULIO TENER ACTA-DEMANDA
739,"LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA","Las lenguas más habladas son el chino, el inglés y el español.","LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA"
67,PAVO COMIDA BASICA NAVIDAD,Los pavos son la comida básica en Navidad,PAVO COMIDA BASICA NAVIDAD
947,NOCHE OSCURA,La noche está muy oscura.,NOCHE OSCURA
466,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO
356,ACTOR dm-TOM CRUICE FAMOSO,Tom Cruice es un actor muy famoso.,ACTOR TOM CRUICE FAMOSO
489,PANADERÍA YO IR,Yo voy a la panadería.,PANADERÍA YO IR
969,SUBURBANO VIAJAR VELOCIDAD,En suburbano se viaja más rápido.,SUBURBANO VIAJAR VELOCIDAD
675,YO JUGAR PARTICIPAR DEPORTIVO-GALEANA,Tengo un partido en el Deportivo Galeana.,YO JUGAR PARTICIPAR DEPORTIVO-GALEANA
245,MAÑANA YO VIAJAR ÁFRICA,Mañana voy a viajar a África.,MAÑANA YO VIAJAR ÁFRICA
909,AYER MI HERMANO PASTEL ÉL DAR MÍ,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ
927,VECINO Él PEDIR MI CARRO MOVER,El vecino me pidió mover mi carro.,VECINO ÉL PEDIR MI CARRO MOVER
368,ALCOHOL YO NO-GUSTAR,A mí no me gusta el alcohol.,ALCOHOL YO NO-GUSTAR
768,DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE,Nos vemos mañana en la noche.,DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE
26,TODOS IGLESIA GRITAR ¡ALELUYA!,Todos en la iglesia gritan ¡aleluya!,TODOS IGLESIA GRITAR ¡ALELUYA!
687,CIUDAD-DE-MÉXICO ENORME,La Ciudad de México es enorme.,CIUDAD-DE-MÉXICO ENORME
195,MI AMIGO+MUJER MODELO SU REVISTA,Mi amiga es modelo de una revista.,MI AMIGO+MUJER MODELO SU REVISTA
599,JOVEN HOMBRE DEPORTE RAFTING,El deportista de rafting es joven.,JOVEN HOMBRE DEPORTE RAFTING
125,YO YA CONVENCER MI AMIGO IR FIESTA,Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA
50,ESCUELA CONSTRUCCIÓN YA AVANZADA,La construcción de la escuela ya está avanzada.,ESCUELA CONSTRUCCIÓN YA AVANZADA
65,MAÑANA BARCO YA LLEGAR,El barco llegó en la mañana.,MAÑANA BARCO YA LLEGAR
235,INVIERNO dm-JOSÉ TOS ENFERMAR,José se enfermó de tos en invierno.,INVIERNO JOSÉ TOS ENFERMAR
576,SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,La semana pasada mi papá cortó la hierba con la hoz.,SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR
895,SIEMPRE ELLOS DISCUTIR,Ellos siempre discuten.,SIEMPRE ELLOS DISCUTIR
227,PIZZA OCHO ELLOS REBANAR,Ellos rebanaron la pizza en ocho partes.,PIZZA OCHO ELLOS REBANAR
796,MI HERMANO+MUJER NO NACER TEXAS,Mi hermana no nació en Texas.,MI HERMANO+MUJER NO NACER TEXAS
275,YO CONOCER BANGLADESH YA BONITO VERDAD,"Yo conozco Bangladesh, es muy bonito de verdad.",YO CONOCER BANGLADESH YA BONITO VERDAD
769,ESE VESTIDO FEO YO NO-GUSTAR,"Ese vestido es feo, no me gusta.",ESE VESTIDO FEO YO NO-GUSTAR
788,YO IR BANCO DINERO RETIRAR,Voy al banco a retirar dinero.,YO IR BANCO DINERO RETIRAR
857,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,Juan Gabriel nació en Ciudad Juárez.,JUAN GABRIEL NACER CIUDAD JUÁREZ
513,MI NÚMERO TELÉFONO SUSPENDER YA,Ya suspendieron mi número de teléfono.,MI NÚMERO TELÉFONO SUSPENDER YA
3,¿Y-ESO?,¿Y eso?,¿Y-ESO?
404,TUYO SOBRINO ATRÁS MI ESPOSO,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO
710,LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA,Nosotros aprendemos gramática en la escuela.,LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA
253,"TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR","Tú estás embarazada, después vas a amamantar.","TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR"
566,DICIEMBRE MUCHAS PERSONAS ESQUIAR IR,En diciembre muchas personas van a esquiar.,DICIEMBRE MUCHAS PERSONAS ESQUIAR IR
558,SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN,Tu esposo siempre me da el avión en todo.,SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN
331,ESE BLANCO GATO RASGUÑAR,Ese gato blanco rasguña.,ESE BLANCO GATO RASGUÑAR
597,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES
512,AYER SUÉTER YO COMPRAR,Ayer compré un suéter.,AYER SUÉTER YO COMPRAR
614,ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL,Alguna persona que quiera donar sangre puede venir al hospital.,ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL
314,ÉL YA COMPRAR #TV CONTADO,Él compró esa televisión de contado.,ÉL YA COMPRAR #TV CONTADO
86,TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR,Borré los contactos de mi teléfono.,TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR
944,MI PRIMO ORIZABA VIVIR,Mi primo vive en Orizaba.,MI PRIMO ORIZABA VIVIR
880,AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE,Ayer entregué el enganche de mi auto.,AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE
379,ALGUNAS PERSONAS ANALFABETO,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO
588,MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER,"Usa maleta de ruedas mejor, no lastima el cuerpo.",MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER
573,HOY YO IR ZOOLOGICO YO VER YA GORILA,Hoy fuí al zoológico y vi un gorila.,HOY YO IR ZOOLOGICO YO VER YA GORILA
435,SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL,El suegro de mi primo Samuel es ciego.,SUEGRO MI PRIMO SAMUEL ÉL CIEGO ÉL
406,AUSTRÍA SU PAÍS HERMOSO,Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO
488,PAN BOLILLO TÚ COMPRAR,Compra pan bolillo.,PAN BOLILLO TÚ COMPRAR
801,ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR
798,VAGINA ADENTRO CUERPO ORIGINAL MUJER,La vagina es un órgano femenino.,VAGINA ADENTRO CUERPO ORIGINAL MUJER
449,YO VIAJAR CONTIGO,Yo no viajo contigo.,YO VIAJAR CONTIGO
122,MI GATO ACARICIAR TRANQUILO,"Yo acaricio a mi gato, él es muy tranquilo.",MI GATO ACARICIAR TRANQUILO
424,CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR,En la escuela cada niño tiene una computadora para trabajar.,CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR
6,NO ABOFETEAR MI,No me abofetees.,NO ABOFETEAR MI
269,YO ASUSTAR ARAÑAS YO MIEDO,"Me asusto con las arañas, me dan miedo.",YO ASUSTAR ARAÑAS YO MIEDO
839,MI MAMÁ CATÓLICA,Mi mamá es católica.,MI MAMÁ CATÓLICA
610,NECESITAR EJERCICIO EJERCICIO PARA SALUD,Es necesario hacer ejercicio para estar sano.,NECESITAR EJERCICIO EJERCICIO PARA SALUD
916,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR
262,YO NO GUSTAR ARAÑA,A mí no me gustan las arañas.,YO NO GUSTAR ARAÑA
213,DISFRAZ HACER. PAPEL,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL
306,YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS,Te confundo a ti y a tu mamá porque se parecen.,YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS
688,HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO,El dueño de esa fábrica fue acusado de enriquecimiento ilícito.,HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO
134,HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA,Cristóbal Colón descubrió América hace años.,HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA
679,SUYO SECRETO YO YA DESCUBRIRSE YA,Ya descubrí su secreto.,SUYO SECRETO YO YA DESCUBRIRSE YA
854,MI PAPÁ CINTURÓN YO REGALAR ÉL,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL
61,BANDERA MEXICANA TENER TRES COLORES,La bandera mexicana tiene tres colores.,BANDERA MEXICANA TENER TRES COLORES
80,PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE,Las personas sordas tienen derecho a una educación bilingüe.,PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE
490,YO GUSTAR PAPA,Me gustan las papas.,YO GUSTAR PAPA
19,CITA DOCTOR ESCRIBIR ANOTAR-AGENDA,El doctor anota la cita en la agenda.,CITA DOCTOR ESCRIBIR ANOTAR-AGENDA
93,¡BUENA NOCHE TÚ DESCANSAR!,"¡Buenas noches, que descanses!",¡BUENA NOCHE TÚ DESCANSAR!
