ID	MSLG	SPA
101.0	MI TRABAJO MUCHO CANSAR CANSAR	Mi trabajo es muy cansado.
804.0	TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE	Tengo que acostumbrarme a despertarme a correr temprano.
634.0	NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR	Caminemos hacia el sur para encontrar agua.
575.0	NOSOTROS ABRIR-HORNO PARA PASTEL	Nosotros abrimos el horno para meter los pasteles.
392.0	MI NOVIO NACER LUGAR ARGENTINA	Mi novio nació en Argentina.
918.0	YO VIAJE FRANCIA YO EMOCIONAR YA	Mi viaje a Francia me emocionó.
493.0	POLICÍA PERSEGUIR JOVEN	El policía persigue a un joven.
732.0	dm-JOSÉ APRENDER IDIOMA ITALIA	José aprende la lengua de Italia.
650.0	¡YO ASUSTAR ALMA DESAPARECER!	¡Del susto se me escapó el alma!
604.0	PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE	El sábado pasado hubo un grave accidente en la carretera.
537.0	COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER	Mete en la bolsa las cosas que compraste en la tienda.
506.0	DOS-DE-NOSOTROS YA SEPARAR	Él y yo ya nos separamos.
878.0	CUBA CALOR	En Cuba hace mucho calor
284.0	ESA PIEDRA BONITA BRILLO MUCHO	Esa piedra está muy bonita, brilla mucho.
454.0	NADA YO NO-QUERER NADA	No quiero nada.
337.0	dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE	Miguel quiere declarse a su amiga, pero no se atreve.
735.0	CHAPULTEPEC HABER LAGO	En Chapultepec hay un lago.
298.0	ENTRAR ANIMAL NIÑO VER MONO	El niño ve un mono en el zoológico.
334.0	PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER	Mi novio y yo vemos películas con subtítulos.
31.0	MAÑANA AMANECER NOSOTROS ENCONTRAR	Nosotros nos encontraremos mañana al amanecer.
640.0	TÚ BASURA TIRAR	Tira la basura.
352.0	DELEGACIÓN YO YA IR ACTA LEVANTAR	Yo fui a levantar un acta a la delegación.
145.0	QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR	Si llego tarde al trabajo, me pueden despedir.
463.0	HOY CUMPLEAÑOS MÍ	Hoy es mi cumpleaños.
353.0	MI AMIGO dm-JULIO TENER ACTA-DEMANDA	Mi amigo Julio tiene un acta de demanda.
739.0	LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA	Las lenguas más habladas son el chino, el inglés y el español.
67.0	PAVO COMIDA BASICA NAVIDAD	Los pavos son la comida básica en Navidad
947.0	NOCHE OSCURA	La noche está muy oscura.
466.0	INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO	La India es el séptimo país más grande del mundo.
356.0	ACTOR dm-TOM CRUICE FAMOSO	Tom Cruice es un actor muy famoso.
489.0	PANADERÍA YO IR	Yo voy a la panadería.
969.0	SUBURBANO VIAJAR VELOCIDAD	En suburbano se viaja más rápido.
675.0	YO JUGAR PARTICIPAR DEPORTIVO-GALEANA	Tengo un partido en el Deportivo Galeana.
245.0	MAÑANA YO VIAJAR ÁFRICA	Mañana voy a viajar a África.
909.0	AYER MI HERMANO PASTEL ÉL DAR MÍ	Mi hermano no me dio pastel ayer.
927.0	VECINO Él PEDIR MI CARRO MOVER	El vecino me pidió mover mi carro.
368.0	ALCOHOL YO NO-GUSTAR	A mí no me gusta el alcohol.
768.0	DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE	Nos vemos mañana en la noche.
26.0	TODOS IGLESIA GRITAR ¡ALELUYA!	Todos en la iglesia gritan ¡aleluya!
687.0	CIUDAD-DE-MÉXICO ENORME	La Ciudad de México es enorme.
195.0	MI AMIGO+MUJER MODELO SU REVISTA	Mi amiga es modelo de una revista.
599.0	JOVEN HOMBRE DEPORTE RAFTING	El deportista de rafting es joven.
125.0	YO YA CONVENCER MI AMIGO IR FIESTA	Convencí a mi amigo de ir a la fiesta.
50.0	ESCUELA CONSTRUCCIÓN YA AVANZADA	La construcción de la escuela ya está avanzada.
65.0	MAÑANA BARCO YA LLEGAR	El barco llegó en la mañana.
235.0	INVIERNO dm-JOSÉ TOS ENFERMAR	José se enfermó de tos en invierno.
576.0	SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR	La semana pasada mi papá cortó la hierba con la hoz.
895.0	SIEMPRE ELLOS DISCUTIR	Ellos siempre discuten.
227.0	PIZZA OCHO ELLOS REBANAR	Ellos rebanaron la pizza en ocho partes.
796.0	MI HERMANO+MUJER NO NACER TEXAS	Mi hermana no nació en Texas.
275.0	YO CONOCER BANGLADESH YA BONITO VERDAD	Yo conozco Bangladesh, es muy bonito de verdad.
769.0	ESE VESTIDO FEO YO NO-GUSTAR	Ese vestido es feo, no me gusta.
788.0	YO IR BANCO DINERO RETIRAR	Voy al banco a retirar dinero.
857.0	dm-JUAN GABRIEL NACER CIUDAD JUÁREZ	Juan Gabriel nació en Ciudad Juárez.
513.0	MI NÚMERO TELÉFONO SUSPENDER YA	Ya suspendieron mi número de teléfono.
3.0	¿Y-ESO?	¿Y eso?
404.0	TUYO SOBRINO ATRÁS MI ESPOSO	Tu sobrino está atrás de mi esposo.
710.0	LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA	Nosotros aprendemos gramática en la escuela.
253.0	TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR	Tú estás embarazada, después vas a amamantar.
566.0	DICIEMBRE MUCHAS PERSONAS ESQUIAR IR	En diciembre muchas personas van a esquiar.
558.0	SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN	Tu esposo siempre me da el avión en todo.
331.0	ESE BLANCO GATO RASGUÑAR	Ese gato blanco rasguña.
597.0	HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES	El gobernador colocó mucha publicidad por las calles.
512.0	AYER SUÉTER YO COMPRAR	Ayer compré un suéter.
614.0	ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL	Alguna persona que quiera donar sangre puede venir al hospital.
314.0	ÉL YA COMPRAR #TV CONTADO	Él compró esa televisión de contado.
86.0	TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR	Borré los contactos de mi teléfono.
944.0	MI PRIMO ORIZABA VIVIR	Mi primo vive en Orizaba.
880.0	AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE	Ayer entregué el enganche de mi auto.
379.0	ALGUNAS PERSONAS ANALFABETO	Algunas personas son analfabetas.
588.0	MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER	Usa maleta de ruedas mejor, no lastima el cuerpo.
573.0	HOY YO IR ZOOLOGICO YO VER YA GORILA	Hoy fuí al zoológico y vi un gorila.
435.0	SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL	El suegro de mi primo Samuel es ciego.
406.0	AUSTRÍA SU PAÍS HERMOSO	Austria es un país hermoso.
488.0	PAN BOLILLO TÚ COMPRAR	Compra pan bolillo.
801.0	ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR	Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.
798.0	VAGINA ADENTRO CUERPO ORIGINAL MUJER	La vagina es un órgano femenino.
449.0	YO VIAJAR CONTIGO	Yo no viajo contigo.
122.0	MI GATO ACARICIAR TRANQUILO	Yo acaricio a mi gato, él es muy tranquilo.
424.0	CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR	En la escuela cada niño tiene una computadora para trabajar.
6.0	NO ABOFETEAR MI	No me abofetees.
269.0	YO ASUSTAR ARAÑAS YO MIEDO	Me asusto con las arañas, me dan miedo.
839.0	MI MAMÁ CATÓLICA	Mi mamá es católica.
610.0	NECESITAR EJERCICIO EJERCICIO PARA SALUD	Es necesario hacer ejercicio para estar sano.
916.0	SIEMPRE MI FAMILIA TELETÓN DONAR DONAR	Mi familia siempre dona a Teletón.
262.0	YO NO GUSTAR ARAÑA	A mí no me gustan las arañas.
213.0	DISFRAZ HACER. PAPEL	El disfraz está hecho de papel
306.0	YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS	Te confundo a ti y a tu mamá porque se parecen.
688.0	HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO	El dueño de esa fábrica fue acusado de enriquecimiento ilícito.
134.0	HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA	Cristóbal Colón descubrió América hace años.
679.0	SUYO SECRETO YO YA DESCUBRIRSE YA	Ya descubrí su secreto.
854.0	MI PAPÁ CINTURÓN YO REGALAR ÉL	Le regalé un cinturón a mi papá.
61.0	BANDERA MEXICANA TENER TRES COLORES	La bandera mexicana tiene tres colores.
80.0	PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE	Las personas sordas tienen derecho a una educación bilingüe.
490.0	YO GUSTAR PAPA	Me gustan las papas.
19.0	CITA DOCTOR ESCRIBIR ANOTAR-AGENDA	El doctor anota la cita en la agenda.
93.0	¡BUENA NOCHE TÚ DESCANSAR!	¡Buenas noches, que descanses!
530.0	AYER METRO AMETRALLADORA SOLDADO YO VER	Ayer en el metro vi a un soldado con su ametralladora.
423.0	CACAHUATES CON LIMÓN SAL YO ENCANTA COMER	Me encanta comer cacahuates con limón y sal.
784.0	POLLO YO QUERER COMER	Quiero comer pollo.
765.0	TÚ CUIDAR MUCHO MAÑANA VERNOS	Cuídate mucho, nos vemos mañana.
849.0	CHIMENEA TÚ ENCENDERfuego	Enciende la chimenea.
846.0	CHARLES-MICHEL-L´ÉPÉE PADRE SORDO	Charles-Michel de l’Épée es el “Padre de los Sordos”.
265.0	ESA MÁQUINA FALLA COMPONER NECESITA	Esa máquina falla mucho, se necesita que la compongan.
630.0	TÚ SUERTE OJALÁ	Deseo que tengas mucha suerte.
7.0	PERSONA ÉL ABOFETEAR MÍ	Esa persona me abofeteó.
305.0	MI COMPUTADORA PRENDER NO YO PREOCUPADO	Mi computadora no prende, estoy preocupado.
394.0	TODO CORREO-ELECTRÓNICO USAR ARROBA	Todos los correos usan arroba.
696.0	AYER YO YA IR GALERÍA	Ayer fui a la galería.
136.0	TIENDA CERCA DOS CUADRAS	La tienda más cercana está a dos cuadras.
507.0	MI HERMANO SUYA NOVIO+MUJER SEPARAR YA	Mi hermano terminó con su novia.
69.0	dm-CÉSAR SU BEBÉ BONITO	El bebé de César es muy bonito.
538.0	HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR	Hoy compré en Wal-Mart una bomba de aire para mi papá.
561.0	SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE	Cuando me acabo de bañar siempre me pongo desodorante.
266.0	YA ELLOS ARRESTAR ÉL	Ellos lo arrestaron.
60.0	AYER BANCO dm-ROCÍO DINERO RETIRAR	Rocío retiró dinero ayer en el banco.
370.0	¿TÚ CREER TODOS ALMA TENER?	¿Crees que todos tenemos alma?
901.0	MAÑANA MI TÍO MUDARSE CASA	Mi tío se mudará de casa mañana.
367.0	DIARIO ALABANZA DIOS, NOSOTROS HACER	Todos los días hacemos alabanzas a Dios.
799.0	VILLAHERMOSA MUCHO CALOR	En Villahermosa hace mucho calor.
359.0	ADMINISTRACIÓN DELEGACIÓN ELLOS IR	Ellos fueron a la administración de la delegación.
967.0	YO NO-FUI VIDRIO ROMPER ROMPER	Yo no fui el que rompió el vidrio.
230.0	SEÑORA dm-MARÍA TENER COCINA	La señora María tiene una cocina.
690.0	YO CREER ESPÍRITU SANTO	Yo creo en el Espíritu Santo.
113.0	TODO PRODUCTO CÓDIGO-DE-BARRAS ETIQUETA HABER	Todos los productos se etiquetan con un código de barras.
881.0	HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO	Enrique Peña Nieto fue gobernador del Estado de México.
403.0	COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE	Mi amiga se inscribió en una competencia de atletismo.
465.0	ANTES CANCÚN IDA-Y-VENIR	Fui a Cancún de ida y vuelta.
295.0	YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR	Me duele la espalda porque ayer cargué un mueble.
365.0	JUGUETE MI AHIJADO YO REGALAR ÉL YA	Le regalé un juguete a mi ahijado.
911.0	TÚ NO PREOCUPAR DEJARLO-ASÍ	No te preocupes, déjalo así.
803.0	MAÑANA TRABAJO dm-JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR	Mañana Juan y yo nos acompañaremos al trabajo.
716.0	COLOR GRIS YO GUSTAR	Me gusta el color gris.
525.0	TODO AFORTUNADO	Tú eres muy afortunado en todo.
885.0	NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS	Terminamos como amigos.
340.0	¡AY! SORPRESA AQUÍ YO VER TI	¡Ay! qué sorpresa verte aquí.
962.0	CAMPESINO MAÍZ SEMBRAR	El campesino siembra maíz.
84.0	dm-DAVID SU PAPÁ BOMBERO	El papá de David es bombero.
676.0	MAÑANA YO DINERO DEPOSITAR BANCO	Mañana voy a depositar el dinero en el banco.
400.0	FILIPINAS SUYO ASIA	Filipinas está en Asia.
790.0	TÚ DEBER SEGUIR ESTUDIAR	Debes seguir estudiando.
369.0	DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS	Mi vecino va diario a Alcohólicos Anónimos.
976.0	HERMANO ÚLTIMO DOCTOR-DIENTES	Mi hermano menor es dentista.
836.0	ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI	¿Quién fue el presidente de México? Carlos Salinas de Gortari.
304.0	¿DÓNDE TUYO CÓMPLICE DÓNDE?	¿Dónde está tu cómplice?
469.0	ISLANDIA DÓNDE LUGAR EUROPA	Islandia se encuentra en Europa.
62.0	BANDERA CAER MIENTRAS CEREMONIA	La bandera se cayó durante la ceremonia.
453.0	YO CONOCER ÉL BIEN YA YO VER ÉL CONSTA	Yo lo conozco bien, me consta.
899.0	JABÓN BURBUJAS	El jabón hace burbujas.
875.0	CRISTIANA YO CREER FE	Yo creo en la fe cristiana.
652.0	AMETRALLADORA DIFERENTE YO NO-GUSTAR	A mí no me gustan las ametralladoras.
18.0	NOSOTROS IR JUGAR AFUERA	Vamos a jugar afuera.
206.0	ALBERCA YO NADAR	Yo nado en la alberca.
5.0	PERRO DEBAJO MESA	El perro está debajo de la mesa.
692.0	METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR	La línea 12 del metro tuvo un gran fallo estructural.
497.0	HOMBRE MUJERIEGO MUCHO	Hay muchos hombres mujeriegos.
519.0	NOSOTROS FUTBOL JUGAR GANAR ¡VIVA!	Ganamos el partido de futbol, ¡viva!
131.0	JOVEN HOMBRE CORTEJA ELLA SU NOVIO+MUJER	El muchacho corteja a su novia.
888.0	¿CUÁNTOS MÉXICO-NACIONAL SORDOS HABER?	¿Cuántos sordos hay en México?
97.0	MI HERMANO BICICLETA ÉL CAER	Mi hermano se cayó de la bicicleta.
738.0	LEGISLADOR YA PROPONER NUEVA LEY LSM	El legislador propuso una nueva ley de LSM.
622.0	VENTANA FILA GOBIERNO TRÁMITE ENTREGAR PAPEL DEBER PONER-SELLO	Entrega el trámite en la ventanilla de gobierno, deben poner un sello.
190.0	dm-MARÍA LOTERÍA GANAR AHORA MILLONARIA ELLA	María ganó la lotería, ahora es millonaria.
862.0	MAÑANA COMBI YO IR A MI CASA	Mañana me iré en combi a mi casa.
728.0	TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR	Debes mostrar tu INE para poder pasar.
273.0	¿DÓNDE BALÓN DÓNDE?	¿Dónde hay un balón?
472.0	FÁCIL APRENDER LETRA ABECEDARIO	Es fácil aprender las letras del abecedario.
260.0	APENAS, YO VER TI	Apenas te vi (hace poco).
557.0	AYER dm-JOSEFINA, dm-ALBERTO AMBOS DADOS JUGAR	Josefina y Alberto jugaron dados ayer.
280.0	SÍ YO GUSTAR JUGAR BOLICHE	A mí sí me gusta jugar boliche.
168.0	FRECUENTEMENTE YO IR CINE	Frecuentemente voy al cine.
282.0	YO VER BIEN YO BORROSO	No veo bien, veo borroso.
906.0	REFRIGERADOR HABER COMIDA CADUCADA	En el refrigerador hay comida caducada.
853.0	DECIR CHISME DIRECTOR ESO NO CIERTO	El rumor sobre el director no era cierto.
297.0	ELLA LLORAR PORQUE CEBOLLA PICAR	Ella llora porque pica cebolla.
832.0	UNA-VEZ MAÑANA FIESTA CANTAR	Mañana sólo cantaré una canción en la fiesta
761.0	NUESTRA CITA LUGAR TAXQUEÑA	Nuestra cita es en Taxqueña.
617.0	SECRETARIA ELLA COMPUTADORA CARTA ARCHIVO	La secretaria está capturando la carta.
139.0	MI AMIGO dm-RODOLFO DADIVOSO	Mi amigo Rodolfo es muy dadivoso.
643.0	dm-NOEMÍ YA ULTRASONIDO PARA SABER SUYO BEBE NIÑO NIÑO+MUJER	Noemí se hizo un ultrasonido para saber si su bebé era niño o niña.
355.0	NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA	Nosotros tenemos muchas actividades en la escuela.
528.0	ALGUIEN ÉL AYUDAR MÍ	Algunas personas son voluntarias en la Cruz Roja.
37.0	MAESTRO ALUMNOS REUNIÓN APARTE	El maestro se reunió aparte con sus alumnos.
868.0	AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ	Ayer me dieron la constancia de la secundaria.
671.0	ESA PERSONA COLMILLO TÚ CUIDAR	Esa persona es astuta, ten cuidado.
301.0	JUGUETE CARRO YO GUSTAR COLECCIONAR	Me gusta coleccionar carros de juguete.
	YO QUERER APRENDER MUCHO COSA	yo quiero aprender muchas cosas
	COMIDA TENER MUCHO GRASA	la comida tiene mucha grasa
	SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO	la semana pasada compré cinta canela en el centro
	ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO	adolfo lópez mateos fue presidente de méxico
	PRÓXIMO CONFERENCIA LUGAR MONTERREY	la próxima conferencia será en monterrey
	ESTE JUGUETE BARATO	el juguete está barato
	¿TÚ YA CONOCER ARGENTINA?	t ya conoces argentina?
	YO YA GANAR CAMPEONATO	yo gané el campeonato
	CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR	en la escuela cada nio tiene una computadora para trabajar
	YO GUSTAR GALLETA DIFERENTE GAMESA	me gustan las galletas gamesa
	PERRO DEBAJO MESA	el perro está debajo de la mesa
	SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA	la semana pasada ped un aventón a la caseta
	MI AMIGO+MUJER MODELO SU REVISTA	mi amiga es modelo de una revista
	BANDERA MÉXICO ESCUDO ESE MUCHO BONITO	el escudo de la bandera de méxico es muy bonito
	HOY NUEVO SACERDOTE YO YA CONOCER ÉL	hoy conoc al nuevo sacerdote
	ESO BONITO SÍ YO GUSTAR	eso es muy bonito s me gusta
	LEGISLADOR YA PROPONER NUEVA LEY LSM	el legislador propuso una nueva ley de lsm
	CHAPULTEPEC HABER LAGO	en chapultepec hay un lago
	MAÑANA TRABAJO JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR	maana juan y yo nos acompaaremos al trabajo
	PAVO COMIDA BASICA NAVIDAD	el palvo es la comida básica en navidad
	YO NECESITAR PAPEL PARA AGUA ABSORBER	necesito papel para absorber el agua
	PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE	el sábado pasado es un grave accidente en la carretera
	ESE CARRO NUEVO LUJOSO	es es el carro nuevo es muy lujoso
	TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE	el TEMPRANO CORRER yo debo acostumbre
	MI HERMANO+MUJER YA EMBARAZADA	mi hermana está embarazada
	HOY NUEVO SACERDOTE YO YA CONOCER ÉL	hoy conoc al nuevo sacerdote
	PAVO COMIDA BASICA NAVIDAD	el palvo es la comida básica en navidad
	PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR	el parque de azcapotzalco es muy nostras
	SIEMPRE NIÑO SUEÑO	el nio siempre tiene sueo
	MÉXICO BIBLIOTECA GRANDE	la biblioteca de méxico es muy grande
	MAÑANA YO VIAJAR ÁFRICA	maana voy a viajar a áfrica
	DELEGACIÓN YO YA IR ACTA LEVANTAR	yo fui a levantar un acta a la delegación
	CORONA-DE-OLIVO ELLOS PONER ÉL	le pusieron la corona de olivo
	YO NO-FUI COMPUTADORA NO-SIRVE	yo no fui quien descompuso la computadora
	ROSALÍA TRABAJAR ARCHIVO HOSPITAL	rosala trabaja en el archivo del hospital
	MI GATO ACARICIAR TRANQUILO	el acaricio de mi gato es muy tranquilo
	PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR	el parque de azcapotzalco es muy nostras
	MAESTRO ALUMNOS REUNIÓN APARTE	el maestro se reunió aparte con sus alumnos
	HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR	hoy compré en espagnol el wal-mart una bomba de aire para mi papá
	SIEMPRE ELLOS DISCUTIR	ellos siempre discuten
	BOSNIA-HERZEGOVINA ESE PAÍS LEJOS	en la biblioteca bosnia y herzegovina es un pas muy lejano
	YO YA GANAR CAMPEONATO	yo gané el campeonato
	TODOS IGLESIA GRITAR ¡ALELUYA!	todos en la iglesia gritan aleluya
	YO TENER TRABAJO YA CONTENTO YO	ya tengo trabajo estoy contento
	HOY MÍ CELULAR YO YA TENER SALDO	hoy mi celular ya tiene saldo
	YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR	me duele la espalda porque ayer cargué un mueble
	SEMANA PASADA, YO IR PLAZA UNIVERSIDAD	la semana pasada fui a plaza universidad
	BANDERA MEXICANA TRES COLORES TENER	la bandera mexicana tiene tres colores
	PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR	mi hermana se casa el próximo domingo
	SUÉTER BLANCO YO PERDER	yo perd el suéter blanco
	MI ABUELO TENER RIFLE VIEJO	mi abuelo tiene un rifle viejo
	AYER SU ROPA SUCIA MI HERMANO LAVAR	En mi hermano lavó su ropa sucia
	PRÓXIMO CONFERENCIA LUGAR MONTERREY	la próxima conferencia será en monterrey
	MI CRONÓMETRO YA PERDER	mi cronómetro se perdió
	MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO	mi mamá cocina en la olla express caldo de pollo sabroso
	CORONA-DE-OLIVO ELLOS PONER ÉL	le pusieron la corona de olivo
	MI ABUELO+MUJER HACER RICO CHOCOLATE	mi abuela hace un chocolate muy rico
	SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER	el hijo de mi vecino siempre es muy desobediente
	CORONA-DE-OLIVO ELLOS PONER ÉL	le pusieron la corona de olivo
	SIEMPRE ELLOS DISCUTIR	ellos siempre discuten
	ISABEL TENER SU CORONA ORO	isabel tiene una corona de oro
	AYER YO PASEAR SENTIR BIEN	ayer fui a pasear y me senti muy bien
	CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY	mi auto no tiene cinturón de seguridad
	CHAPULTEPEC HABER LAGO	en chapultepec hay un lago
	LEGISLADOR YA PROPONER NUEVA LEY LSM	el legislador propuso una nueva ley de lsm
	ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR	él desear conquistar a una mujer pero tiene miedo de que lo abandonen
	HOY YO YO IR ZOOLOGICO VER GORILA YA	hoy fu al zoológico y vi un gorila
	LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA	nosotros aprendemos gramática en la escuela
	PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE	el sábado pasado es un grave accidente en la carretera
	YO NECESITAR PAPEL PARA AGUA ABSORBER	necesito papel para absorber el agua
	AYER SUÉTER YO COMPRAR	ayer compré un suéter
	TOMÁS APÓSTOL JESÚS	tomás fue un apóstol de jess
	MI HIJO YO ABANDONAR	yo abandoné a mi hijo
	ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR	él desear conquistar a una mujer pero tiene miedo de que lo abandonen
	SACAR-COPIA TÚ DEBER	debes sacar una copia
	MI PRIMO UNIVERSIDAD YA INGRESAR	mi primo ingresó a la universidad
	ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO	alondra le prometió a su mamá ser médio
	ALCOHOL YO NO-GUSTAR	yo no me gustan las alcohos
	CAJA PEQUEÑA SU COLOR ROJO	la caja pequea es un color rojo
	PERRO DEBAJO MESA	el perro está debajo de la mesa
	HOY YO IR ZOOLOGICO YO VER YA GORILA	hoy fu al zoológico y vi un gorila
	SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE	el cuando me acabo de baar siempre me pongo desodorante
	BARCO CAPITÁN ÉL INTELIGENTE	el capitán del barco es muy inteligente
	ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR	él desear conquistar a una mujer pero tiene miedo de que lo abandonen
	MI COMPUTADORA PRENDER NO YO PREOCUPADO	mi computadora no prende estoy preocupado
	SAPO YA CONVERTIR PERSONA PRÍNCIPE	el sapo se convirtió en prncipe
	VECINO ÉL PEDIR MI CARRO MOVER	el vecino me pidió mover mi carro
	CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR	en la escuela cada nio tiene una computadora para trabajar
	MI AMIGO JULIO TENER ACTA-DEMANDA	mi amigo julio tiene un acta de demanda
	PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR	mi hermana se casa el próximo domingo
	ALICIA YA VIAJAR SUDÁFRICA	en la espagnol del alicina ya viajó a sudáfrica
	ÁLVARO OBREGÓN VIVIR YO	yo vivo en la mexicana álvaro obregón
	SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR	la semana pasada mi papá cortó la hoz
	YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR	me duele la espalda porque ayer cargué un mueble
	MUJER TENER VÁGINA	las mujeres tienen vágina
	AYER SUÉTER COMPRAR YO	ayer compré un suéter
	HOSPITALACÁ TODA ENFERMERA AMABLE	todas las enfermeras del hospital son muy amables
	ESO BONITO SÍ YO GUSTAR	eso es muy bonito s me gusta
	SANTIAGO MONEDA GUARDAR-BOLSILLO	santiago guarda en el bolsillo una moneda
	PAVO COMIDA BASICA NAVIDAD	el palvo es la comida básica en navidad
	AUSTRALIA DECIR HABER MUCHO CANGURO	en australia hay muchos canguros
	BANDERA MEXICANA TENER TRES COLORES	la bandera mexicana tiene tres colores
	COMIDA TENER MUCHO GRASA	la comida tiene mucha grasa
	BANDERA MÉXICO ESCUDO ESE MUCHO BONITO	el escudo de la bandera de méxico es muy bonito
	MI ABUELO+MUJER HACER RICO CHOCOLATE	mi abuela hace un chocolate muy rico
	MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO	mi mamá cocina en la olla express caldo de pollo sabroso
	MI HERMANO+MUJER YA EMBARAZADA	mi hermana está embarazada
	MÉXICO BIBLIOTECA GRANDE	la biblioteca de méxico es muy grande
	CUADERNO YO NECESITAR	el cuaderno es necesito
	MI HIJO YO ABANDONAR	yo abandoné a mi hijo
	HOY NUEVO SACERDOTE YO YA CONOCER ÉL	hoy conoc al nuevo sacerdote
	MI MAMÁ CATÓLICA	mi mamá es católica
	HOY MÍ CELULAR YO YA TENER SALDO	hoy mi celular ya tiene saldo
	MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE	miguel quiere declarse a su amiga pero no se atreve
	MAESTRO ALUMNOS REUNIÓN APARTE	el maestro se reunió aparte con sus alumnos
	ALMOHADA CÓMODA ALMOHADA PARA DORMIR	la almohada es muy cómoda para dormir
	MARATÓN MI PRIMO MEDALLA ORO YA GANAR	mi primo ganó medalla de oro en el maratón
